.1btc
.matlock20
.marlock02
.readinstructions
.bec
.mylock
.jpz.nz
.marlock11
.cn
.NET1
.key1
.fileslocked
.datalock.NZ
.lock
.lockfilesUS
.deadfilesgr
.tyco
.lockdata7
.rs
.faratak
.uslockhh
.lockfiles
.tyco
.fileslock
.zoomzoom
.perfection
.uslockhh
.marlock13	
.n.exe
.Readinstruction
.marlock08
.marlock25
.nt_lock20
.READINSTRUCTION	 
.marlock6
.marlock01
.ReadInstructions
